2022-08-22 19:08:126 INFO  ManageDriver :29 - Launching Chrome Browser
2022-08-22 19:08:68 INFO  CoursePage :73 - I search for course : [[ChromeDriver: chrome on WINDOWS (86d44b73b389e31a10921cf3a741fc2e)] -> id: edit-freetext]
2022-08-22 19:08:170 INFO  CoursePage :68 - I click on search button : [[ChromeDriver: chrome on WINDOWS (86d44b73b389e31a10921cf3a741fc2e)] -> id: edit-submit]
2022-08-22 20:08:615 INFO  ManageDriver :29 - Launching Chrome Browser
2022-08-22 20:08:410 INFO  CoursePage :73 - I search for course : [[ChromeDriver: chrome on WINDOWS (b617f4d5d23f4adb312af7bc451ff763)] -> id: edit-freetext]
2022-08-22 20:08:543 INFO  CoursePage :68 - I click on search button : [[ChromeDriver: chrome on WINDOWS (b617f4d5d23f4adb312af7bc451ff763)] -> id: edit-submit]
2022-08-22 20:08:796 INFO  ManageDriver :29 - Launching Chrome Browser
2022-08-22 20:08:588 INFO  CoursePage :78 - I click on apply button : [[ChromeDriver: chrome on WINDOWS (63cbd0d12077868549bfcdfd9299b081)] -> class: campl-primary-cta]
2022-08-22 20:08:265 INFO  LoginPage :25 - I click on register button : [[ChromeDriver: chrome on WINDOWS (63cbd0d12077868549bfcdfd9299b081)] -> id: iceForm:register]
2022-08-22 20:08:418 INFO  RegisterPage :111 - I enter first name : [[ChromeDriver: chrome on WINDOWS (63cbd0d12077868549bfcdfd9299b081)] -> xpath: //input[contains(@id,'forename')]]
2022-08-22 20:08:454 INFO  RegisterPage :74 - I select day : [[ChromeDriver: chrome on WINDOWS (63cbd0d12077868549bfcdfd9299b081)] -> xpath: //div[@id='iceForm:well:dateOfBirth:dateOfBirthDay']]
2022-08-22 20:08:293 INFO  RegisterPage :69 - I select month : [[ChromeDriver: chrome on WINDOWS (63cbd0d12077868549bfcdfd9299b081)] -> xpath: //div[@id='iceForm:well:dateOfBirth:dateOfBirthMonth']]
2022-08-22 20:08:128 INFO  ManageDriver :29 - Launching Chrome Browser
2022-08-22 20:08:231 INFO  CoursePage :78 - I click on apply button : [[ChromeDriver: chrome on WINDOWS (a94335abd5952fe89c20b04510ad4867)] -> class: campl-primary-cta]
2022-08-22 20:08:942 INFO  LoginPage :25 - I click on register button : [[ChromeDriver: chrome on WINDOWS (a94335abd5952fe89c20b04510ad4867)] -> id: iceForm:register]
2022-08-22 20:08:83 INFO  RegisterPage :112 - I enter first name : [[ChromeDriver: chrome on WINDOWS (a94335abd5952fe89c20b04510ad4867)] -> xpath: //input[contains(@id,'forename')]]
2022-08-22 20:08:116 INFO  RegisterPage :74 - I select day : [[ChromeDriver: chrome on WINDOWS (a94335abd5952fe89c20b04510ad4867)] -> xpath: //div[@id='iceForm:well:dateOfBirth:dateOfBirthDay']]
2022-08-22 20:08:347 INFO  RegisterPage :69 - I select month : [[ChromeDriver: chrome on WINDOWS (a94335abd5952fe89c20b04510ad4867)] -> xpath: //div[@id='iceForm:well:dateOfBirth:dateOfBirthMonth']]
2022-08-22 20:08:777 INFO  ManageDriver :29 - Launching Chrome Browser
2022-08-22 20:08:439 INFO  CoursePage :73 - I search for course : [[ChromeDriver: chrome on WINDOWS (58371bf9537f0aeada90c600caf9ef36)] -> id: edit-freetext]
2022-08-22 20:08:578 INFO  CoursePage :68 - I click on search button : [[ChromeDriver: chrome on WINDOWS (58371bf9537f0aeada90c600caf9ef36)] -> id: edit-submit]
2022-08-22 20:08:244 INFO  ManageDriver :29 - Launching Chrome Browser
2022-08-22 20:08:639 INFO  CoursePage :78 - I click on apply button : [[ChromeDriver: chrome on WINDOWS (b4f8376d3227d9bd154ce79992e49661)] -> class: campl-primary-cta]
2022-08-22 20:08:380 INFO  LoginPage :25 - I click on register button : [[ChromeDriver: chrome on WINDOWS (b4f8376d3227d9bd154ce79992e49661)] -> id: iceForm:register]
2022-08-22 20:08:564 INFO  RegisterPage :134 - I enter first name : [[ChromeDriver: chrome on WINDOWS (b4f8376d3227d9bd154ce79992e49661)] -> xpath: //input[contains(@id,'forename')]]
